Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts
"Aboultaif, Ziad",Edmonton Manning,Conservative,77794.96,6847.23,977.43,15555.20
"Aitchison, Scott",Parry Sound—Muskoka,Conservative,90543.48,4303.61,0.00,26762.19
"Albas, Dan",Central Okanagan—Similkameen—Nicola,Conservative,103691.35,7159.30,121.25,25679.59
"Alghabra, Hon. Omar",Mississauga Centre,Liberal,81398.47,8095.60,0.00,44340.63
"Alleslev, Leona",Aurora—Oak Ridges—Richmond Hill,Conservative,72805.14,5479.75,77.14,19823.32
"Allison, Dean",Niagara West,Conservative,86409.94,7291.54,15.48,22942.10
"Amos, William",Pontiac,Liberal,106560.36,4571.32,957.65,26083.69
"Anand, Hon. Anita",Oakville,Liberal,69282.54,660.90,0.00,24658.85
"Anandasangaree, Gary",Scarborough—Rouge Park,Liberal,105460.30,8514.68,840.00,39059.46
"Angus, Charlie",Timmins—James Bay,New Democratic Party,104160.03,7637.18,0.00,36056.37
"Arnold, Mel",North Okanagan—Shuswap,Conservative,98255.28,4591.88,0.00,20656.11
"Arseneault, René",Madawaska—Restigouche,Liberal,78267.76,5915.98,532.53,41675.76
"Arya, Chandra",Nepean,Liberal,96379.67,0.00,0.00,65865.15
"Ashton, Niki",Churchill—Keewatinook Aski,New Democratic Party,138266.21,12256.58,0.00,28447.81
"Atwin, Jenica",Fredericton,Green Party,115837.64,0.00,0.00,20352.40
"Bachrach, Taylor",Skeena—Bulkley Valley,New Democratic Party,98795.20,3426.88,0.00,31235.99
"Badawey, Vance",Niagara Centre,Liberal,110198.69,4724.00,30.25,30297.43
"Bagnell, Hon. Larry",Yukon,Liberal,119179.97,2904.10,142.83,30562.89
"Bains, Hon. Navdeep",Mississauga—Malton,Liberal,111577.78,1197.86,0.00,8933.45
"Baker, Yvan",Etobicoke Centre,Liberal,75602.74,5161.42,175.00,57726.66
"Baldinelli, Tony",Niagara Falls,Conservative,94228.04,7105.97,0.00,40107.68
"Barlow, John",Foothills,Conservative,103667.44,23118.10,76.60,17817.78
"Barrett, Michael",Leeds—Grenville—Thousand Islands and Rideau Lakes,Conservative,119141.93,4376.89,0.00,15418.91
"Barsalou-Duval, Xavier",Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,94484.15,13664.85,66.98,44177.91
"Battiste, Jaime",Sydney—Victoria,Liberal,111800.81,3506.69,423.94,27508.89
"Beaulieu, Mario",La Pointe-de-l'Île,Bloc Québécois,82634.26,11249.19,270.44,45754.22
"Beech, Terry",Burnaby North—Seymour,Liberal,91744.03,6050.00,427.71,42116.98
"Bendayan, Rachel",Outremont,Liberal,97475.59,8108.58,625.55,74121.45
"Bennett, Hon. Carolyn",Toronto—St. Paul's,Liberal,102425.51,10061.29,822.99,20360.36
"Benzen, Bob",Calgary Heritage,Conservative,87207.23,0.00,0.00,22830.06
"Bergen, Hon. Candice",Portage—Lisgar,Conservative,94877.60,14840.25,434.40,26490.81
