x,y
4816417.727737829,2164141.2536707507
4803996.179238047,2167765.0307493457
7781974.301284032,1273013.3878127963
8099227.735936536,1795384.9451207237
8405751.73069611,1798847.3651398332
7214974.087231327,931591.2907672083
7659775.203481019,1250467.1788278383
7632179.753380442,1350450.8093423613
7647060.358710057,1274400.3971528125
7140693.404007367,889020.7222574927
7147024.945767419,886412.8505921501
7448342.25089558,1043465.3190286395
7475131.721211334,1194309.3931191594
7462910.196442495,1181486.4056422128
7141159.571481409,1120743.8245539067
7101603.5564349815,902612.1257226343
7297420.317075906,1054887.1973751797
7233971.867377862,975778.4661798638
7322397.473105793,1184176.8476937055
7477489.703304341,1163446.7363393723
7678097.931794558,1807586.9562151285
8412930.48053107,1445603.9870657974
8710851.941986026,1506444.2679281514
7859349.963631838,2435628.4025528925
7091345.101423468,827560.6074050294
7733556.465658085,2383772.74605043
7084449.672960572,828931.6052736621
7982879.132607782,2054695.3800112167
7009561.052298866,1274119.9705939873
7478834.462257609,1349964.1069640168
5068850.474765948,1995811.5440219964
7217220.822984107,951339.1813638957
7246586.760364684,879656.9863628837
7224968.083760704,926553.1381231163
7534534.787746977,1169755.0024175278
7017961.118574993,1207249.9267733528
6234205.345925137,1410122.7792433447
6483044.938401125,1524103.556374256
6791512.635909314,1769098.5144654955
8355801.348373208,1469356.9470960486
8414766.252182357,1454818.6541650004
8342443.366270626,1348226.5930467243
8532866.594582556,1729997.8818940313
8277628.488503887,1342310.5421792963
7330730.3940573735,2307104.1572761196
7196616.062467657,1398146.3461402704
8538948.200091979,1646281.5871180184
8454962.310510362,1542295.246958782
8350122.57135097,1526699.6114743815
8416882.491110114,1428391.157816079
8396250.230108436,1442961.1271710915
7621683.893230156,1246293.840419583
7620073.274349544,1258347.3541469811
7515908.601185963,1248204.6727428003
7153198.779217657,876668.4531598494
7013792.193612072,722610.4798035327
7219529.358503007,929526.5609922198
7080216.805894412,823514.0393614898
7225807.932886179,949943.6970089581
7213656.359929883,944875.5875514079
7228310.121652543,930260.3848803234
7225728.475298041,929684.8309210826
7159295.851099755,915337.32280837
7978330.520231952,1722495.8680569695
7815292.342167647,1431954.2917925646
7821828.640235372,1382949.4575168942
7761806.553846246,1445501.3889673965
7688219.703932103,1343132.5033557985
7712082.316015051,1230847.2269272448
7641181.196885764,1241853.3601662284
7895426.07364576,1624374.6217395617
7763197.345607173,1535312.938797734
7639081.612109123,1212868.6572057905
7760279.093212353,1604277.0728969218
7702940.465557182,1308290.068885928
7223993.620861213,956579.7454212168
7183427.489194699,902831.1079056871
7203975.232473151,941450.6563524797
7223519.967771249,930522.9655462612
7134785.112053147,891625.0846278209
7750742.4720442165,1447588.3568929627
7622901.694525533,1235327.334355599
7226960.423132212,939162.7959884211
7223708.7033545915,944068.9132751273
7203999.555117105,916221.1357516368
7207751.7546039,919943.4740447205
7200798.840884274,911473.9176889238
7252258.040566901,966713.4884996853
6958330.310382765,722907.3438479479
7219383.308679322,941966.0968968779
7592548.289566732,1222339.6591903875
3954830.078164389,2022456.7730033917
3896594.0292093004,2254924.1070151296
7223783.351298225,937216.9149671334
7159224.776961745,954166.4038393637
7257939.384158556,982307.4329169912
7095573.784155986,796262.2414248287
7184498.105341581,874931.6480696916
7529712.297048949,1207250.3100507774
7204090.772288879,900321.4390747064
7004632.525866279,802316.7604439777
7221496.683970621,932371.3176567322
7227703.937889815,945895.7430647226
6949442.896911271,722947.4326534931
7628178.784580502,1244606.0397195502
7215773.164870479,938429.8357064876
7219275.221036836,935153.0244532212
7209725.923319145,912687.4512746135
7202460.377321923,924819.2605343346
7167068.628431507,1242012.919322596
8280654.508492046,1629783.7177198764
8402052.539104087,1631336.0188975905
8365018.392791355,1620758.2650604302
7210763.49338549,937234.660965794
7605359.20440546,1257486.8126582804
7623565.263119072,1253633.6088800502
7469330.703707266,1172736.4846685678
7233610.885527873,937349.4547319533
7196607.691468742,916090.2893888687
7149109.591889786,1000993.0579268514
7172118.462888166,1040889.246477727
8341191.975388282,1614831.6090214225
7208653.0290785525,993115.4678439017
5623006.922640355,1566561.4952831164
5600990.39522649,1517526.681563308
5808367.78872472,1542214.332891986
5880473.271397444,2192319.6464770897
5619238.736733537,1717433.8785157832
5363209.212059781,2359480.874249143
