name,distance
Edmonton Strathcona,5280272.454904681
Edmonton-Ouest,5270434.166167244
Compton--Stanstead,7885377.155479635
Gaspésie--Les Îles-de-la-Madeleine,8295808.161891147
Gaspésie--Les Îles-de-la-Madeleine,8596046.923887111
York-Sud--Weston,7274833.262950436
Beloeil--Chambly,7761141.526468709
Berthier--Maskinongé,7750702.95403812
Pierre-Boucher--Les Patriotes--Verchères,7752491.647293196
Kitchener-Centre,7195786.685891477
Kitchener-Sud--Hespeler,7201748.276723632
Kingston et les Îles,7521044.042340847
Ottawa--Vanier,7569905.607642396
Ottawa-Ouest--Nepean,7555821.5720340125
Parry Sound--Muskoka,7228537.035999392
Perth--Wellington,7158699.129413083
Peterborough--Kawartha,7373237.216565532
Pickering--Uxbridge,7299450.879927585
Renfrew--Nipissing--Pembroke,7417499.149635042
Carleton,7567427.397544279
Jonquière,7887974.049120974
Dartmouth--Cole Harbour,8536194.980217213
Halifax,8840121.753468826
Manicouagan,8228081.327481631
London--Fanshawe,7139433.659514719
Manicouagan,8092584.658487368
London-Centre-Nord,7132743.9797833925
Manicouagan,8243040.593111395
Nickel Belt,7124386.567092086
Laurentides--Labelle,7599664.003535847
Battlefords--Lloydminster,5447600.438782862
Richmond Hill,7279616.1315517565
St. Catharines,7299745.950753938
Spadina--Fort York,7284102.446402721
Stormont--Dundas--South Glengarry,7624764.511243747
Sudbury,7121009.470021874
Thunder Bay--Rainy River,6391667.20737053
Thunder Bay--Supérieur-Nord,6659760.139557858
Timmins--Baie James,7018119.712529165
Kings--Hants,8483978.393439222
Sackville--Preston--Chezzetcook,8539569.322063776
South Shore--St. Margarets,8450652.194280252
Sydney--Victoria,8706445.413417034
Nova-Ouest,8385724.907302719
Abitibi--Baie-James--Nunavik--Eeyou,7685181.912826492
Abitibi--Témiscamingue,7331142.738493097
Cape Breton--Canso,8696168.865951579
Nova-Centre,8594447.492673233
Cumberland--Colchester,8488511.720368803
Halifax,8537192.968793377
Halifax-Ouest,8519308.09625767
Ahuntsic-Cartierville,7722875.759347896
Alfred-Pellan,7723241.096244602
Argenteuil--La Petite-Nation,7618819.015731832
Cambridge,7206683.234314199
Chatham-Kent--Leamington,7050880.730002793
Davenport,7279087.075362946
London-Ouest,7127911.816374673
Markham--Thornhill,7287947.632638966
Thornhill,7275239.905141565
Toronto--Danforth,7287889.665513238
Toronto-Centre,7285255.672192008
Wellington--Halton Hills,7217537.508507708
Avignon--La Mitis--Matane--Matapédia,8162125.084336486
Bellechasse--Les Etchemins--Lévis,7945363.068934488
Beauce,7943113.4497679155
Beauport--Limoilou,7895228.240196436
Bécancour--Nicolet--Saurel,7804628.885718173
Brome--Missisquoi,7809653.275482577
Brossard--Saint-Lambert,7741404.504193866
Rimouski-Neigette--Témiscouata--Les Basques,8060761.406894569
Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix,7913529.303548942
Châteauguay--Lacolle,7734733.861242767
Chicoutimi--Le Fjord,7924340.630540326
Drummond,7813220.399681403
Markham--Unionville,7287017.030223632
Milton,7239904.59914882
Vaughan--Woodbridge,7265196.251420434
University--Rosedale,7283172.273629072
Waterloo,7190246.220539757
Charlesbourg--Haute-Saint-Charles,7884734.36204629
Dorval--Lachine--LaSalle,7722315.61034346
Don Valley-Est,7287693.006952116
Don Valley-Nord,7285102.623218803
Mississauga-Centre,7261993.873650638
Mississauga-Est--Cooksville,7266186.471274921
Mississauga--Erin Mills,7258221.027411611
Whitby,7316369.945369807
Windsor--Tecumseh,6995743.923823984
Willowdale,7280541.342978357
Vaudreuil--Soulanges,7690279.519064825
Nanaimo--Ladysmith,4441954.442763568
North Island--Powell River,4502012.34663065
Don Valley-Ouest,7284291.804623362
Dufferin--Caledon,7222494.514165236
Durham,7324076.8266995605
Elgin--Middlesex--London,7140075.408069939
Flamborough--Glanbrook,7237540.8942549955
Glengarry--Prescott--Russell,7625845.482363921
Oakville,7260095.343362818
Sarnia--Lambton,7050395.317594215
Toronto--St. Paul's,7281402.045444398
Scarborough--Agincourt,7289301.034465587
Windsor-Ouest,6986908.307171175
Outremont,7729013.5986024905
York-Centre,7276504.619490101
Eglinton--Lawrence,7279555.730675076
Mississauga--Lakeshore,7267229.835300133
Mississauga--Malton,7261557.123259716
Nipissing--Timiskaming,7273857.694386794
Egmont,8439486.272294544
Cardigan,8558926.788297996
Charlottetown,8520556.056941831
Humber River--Black Creek,7271382.660503567
Thérèse-De Blainville,7708583.603948747
Bourassa,7725920.124879511
Nepean,7560800.950779501
Scarborough-Sud-Ouest,7294054.785473182
Mississauga--Streetsville,7254644.622319849
Simcoe--Grey,7218812.723801442
Simcoe-Nord,7247222.895816497
Malpeque,8496037.394987447
York--Simcoe,7276706.144026898
Brandon--Souris,5837126.700997984
Brandon--Souris,5802904.580104214
Charleswood--St. James--Assiniboia--Headingley,6009597.927054984
Churchill--Keewatinook Aski,6275828.951757334
Dauphin--Swan River--Neepawa,5875812.509356566
Desnethé--Missinippi--Rivière Churchill,5859268.98619816
Moose Jaw--Lake Centre--Lanigan,5546669.39618856
Prince Albert,5713209.901431048
Regina--Lewvan,5562344.201478191
Regina--Qu'Appelle,5639200.033176195
Regina--Wascana,5567694.163160301
Saskatoon--Grasswood,5539949.685251419
Sentier Carlton--Eagle Creek,5531616.559037117
Hochelaga,7733597.636659592
Gatineau,7570407.234175676
Honoré-Mercier,7730807.718145113
Hull--Aylmer,7558487.091374706
Joliette,7685018.999316902
Lac-Saint-Jean,7761149.66724204
Calgary Confederation,5065406.504410033
Calgary-Centre,5062798.497334055
Calgary Midnapore,5056071.361346979
