Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Jim,Abbott,Kootenay—Columbia,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Diane,Ablonczy,Calgary—Nose Hill,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Peter,Adams,Peterborough,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Hélène,Alarie,Louis-Hébert,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Reg,Alcock,Winnipeg South,Manitoba,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Rob,Anders,Calgary West,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,David,Anderson,Victoria,British Columbia,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Mark,Assad,Gatineau,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Sarkis,Assadourian,Brampton Centre,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Gérard,Asselin,Charlevoix,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jean,Augustine,Etobicoke—Lakeshore,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Chris,Axworthy,Saskatoon—Rosetown—Biggar,Saskatchewan,NDP,1997-06-02 12:00:00 AM,1999-06-01 12:00:00 AM
Hon.,Lloyd,Axworthy,Winnipeg South Centre,Manitoba,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,André,Bachand,Richmond—Arthabaska,Quebec,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Claude,Bachand,Saint-Jean,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
